docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S175058361300203X-1542	1	Quantity	22	32	T1-1	34-38 °C范围	{'mods': ['IsRange'], 'unit': '°C'}
S175058361300203X-1542	1	MeasuredProperty	34	36	T2-1	温度	{'HasQuantity': 'T1-1'}
S175058361300203X-1542	1	MeasuredEntity	-1	-1	T3-1	盐水饱和砂岩中的地震速度不取决于	{'HasProperty': 'T2-1'}
S175058361300203X-1542	2	Quantity	137	140	T1-2	50%	{'unit': '%'}
S175058361300203X-1542	2	MeasuredEntity	141	146	T2-2	CO2饱和	{'HasQuantity': 'T1-2'}
S175058361300203X-1542	3	Quantity	162	169	T1-3	小于5 m/s	{'mods': ['IsRange'], 'unit': 'm/s'}
S175058361300203X-1542	3	MeasuredProperty	96	98	T3-3	VP	{'HasQuantity': 'T1-3'}
S175058361300203X-1542	3	MeasuredEntity	155	157	T2-3	场景	{'HasProperty': 'T3-3'}
S175058361300203X-1542	3	Qualifier	98	100	T4-3	差异	{'Qualifies': 'T3-3'}
S175058361300203X-1542	4	Quantity	195	198	T1-4	±5%	{'mods': ['HasTolerance'], 'unit': '%'}
S175058361300203X-1542	4	MeasuredProperty	198	200	T3-4	误差	{'HasQuantity': 'T1-4'}
S175058361300203X-1542	4	MeasuredEntity	141	146	T4-4	CO2饱和	{'HasProperty': 'T3-4'}
S175058361300203X-1542	5	Quantity	249	256	T1-5	±70 m/s	{'mods': ['IsRange'], 'unit': 'm/s'}
S175058361300203X-1542	5	MeasuredProperty	96	98	T4-5	VP	{'HasQuantity': 'T1-5'}
S175058361300203X-1542	5	MeasuredEntity	173	179	T3-5	岩石物理实验	{'HasProperty': 'T4-5'}
S175058361300203X-1542	6	Quantity	-1	-1	T1-6	34和38 °C	{'mods': ['IsList'], 'unit': '°C'}
S175058361300203X-1542	6	MeasuredProperty	34	36	T3-6	温度	{'HasQuantity': 'T1-6'}
S175058361300203X-1542	6	MeasuredEntity	155	157	T2-6	场景	{'HasProperty': 'T3-6'}
